observation,sender,sender_type,sender_id,x,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,gender,age,grad,drug,cof,cig,alc,bfi10_e1,bfi10_v2,bfi10_g1,bfi10_n1,bfi10_o1,bfi10_e2,bfi10_v1,bfi10_g2,bfi10_n2,bfi10_o2,story,option_a,option_b,story_number,risk_a,risk_b,fame_known,risk_oa,meme
12777,welcome,html.Page,0_0,NA,form submission,3224.4959998379,1183.955000015,1175.462,1192.129,4416.6249998379,4418.8399999402,2020-05-30T07:54:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
54441,welcome,html.Page,0_0,NA,form submission,9722,538,544,557,10279,10280,2020-05-30T10:41:40Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
54441,dem,html.Page,0_1,NA,form submission,54034,10280,10285,10303,64337,64338,2020-05-30T10:42:34Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6f634,welcome,html.Page,0_0,NA,form submission,24021.63599995,3885.1999999606,3887.491,4004.264,28025.89999995,28028.799999971,2020-05-30T11:04:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6f634,dem,html.Page,0_1,NA,form submission,35198.335,28030.899999954,28004.539,28071.265,63269.6,63270.899999945,2020-05-30T11:04:52Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6f634,BFI-10,html.Page,0_2,NA,form submission,36105.40499998,63272.099999944,63259.308,63342.695,99448.09999998,99451.499999966,2020-05-30T11:05:28Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6f634,Dem,flow.Sequence,0,NA,completion,95443.83599998,3884.9999999511,3887.491,4004.264,99448.09999998,99457.299999951,2020-05-30T11:05:28Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
6f634,SitIntro,html.Page,1_0,NA,form submission,20448.199999967,99459.299999988,99430.732,99464.1,119912.29999997,119913.39999996,2020-05-30T11:05:49Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
54441,BFI-10,html.Page,0_2,NA,form submission,128438,64339,64360,64390,192828,192835,2020-05-30T11:06:25Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
54441,Dem,flow.Sequence,0,NA,completion,192271,538,544,557,192828,192837,2020-05-30T11:06:25Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
