observation,sender,sender_type,sender_id,x,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,gender,age,grad,drug,cof,cig,alc,bfi10_e1,bfi10_v2,bfi10_g1,bfi10_n1,bfi10_o1,bfi10_e2,bfi10_v1,bfi10_g2,bfi10_n2,bfi10_o2,story,option_a,option_b,story_number,risk_a,risk_b,fame_known,risk_oa,meme
a7622,welcome,html.Page,0_0,NA,form submission,3600.7389999373,1450.5600000266,1442.609,1459.276,5060.0149999373,5063.0299998447,2020-05-25T18:35:21Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
de860,welcome,html.Page,0_0,NA,form submission,4896.8370000631,2935.1900001056,2928.756,2945.423,7842.2600000631,7846.1300001945,2020-05-25T18:42:16Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
de860,dem,html.Page,0_1,NA,form submission,33570.872000042,7846.5800001286,7812.187,7945.523,41516.395000042,41517.34000002,2020-05-25T18:42:50Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
de860,BFI-10,html.Page,0_2,NA,form submission,34848.003000184,41517.810000107,41497.721,41547.722,76395.725000184,76396.185000194,2020-05-25T18:43:25Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
de860,Dem,flow.Sequence,0,NA,completion,73450.302000184,2935.1350001525,2928.756,2945.423,76395.725000184,76397.975000087,2020-05-25T18:43:25Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
de860,SitIntro,html.Page,1_0,NA,form submission,5897.6720001697,76398.300000001,76383.779,76417.113,82314.78500017,82315.600000089,2020-05-25T18:43:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
de860,Sit,html.Page,1_1_0_0,NA,form submission,25959.155000019,82316.015000222,82317.231,82350.565,108309.72000002,108310.43500011,2020-05-25T18:43:56Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
de860,Seq,flow.Sequence,1_1_0,NA,completion,25959.155000019,82315.970000112000,82317.231,82350.565,108309.72000002,108311.37000001,2020-05-25T18:43:56Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
de860,Sit,html.Page,1_1_1_0,NA,form submission,62532.115000151,108311.58000021,108319.358,108336.025,170868.14000015,170868.95000003,2020-05-25T18:44:59Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
de860,Seq,flow.Sequence,1_1_1,NA,completion,62532.115000151,108311.54000014,108319.358,108336.025,170868.14000015,170869.82000014,2020-05-25T18:44:59Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
de860,Sit,html.Page,1_1_2_0,NA,form submission,18038.778000143,170870.27000007,170873.665,170890.332,188929.11000014,188929.61500003,2020-05-25T18:45:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
de860,Seq,flow.Sequence,1_1_2,NA,completion,18038.778000143,170870.21500012,170873.665,170890.332,188929.11000014,188929.87500015,2020-05-25T18:45:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
de860,Sit,html.Page,1_1_3_0,NA,form submission,51511.147000174,188930.33000012,188924.934,188958.268,240469.41500017,240469.86500011,2020-05-25T18:46:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
